p_swp,H2_dec_0,H2_dec_1,H2_dec_2,H2_enm_0,H2_enm_1,H2_enm_2
0.0002,238.26302431142,Inf,Inf,224.359961379504,Inf,Inf
0.0004,168.478791903361,Inf,Inf,158.650030682646,Inf,Inf
0.0006,137.560936705464,Inf,Inf,129.540129599955,Inf,Inf
0.0008,119.131943561254,Inf,Inf,112.187574171561,Inf,Inf
0.001,106.555941966067,Inf,Inf,100.345881328341,Inf,Inf
0.002,75.3491974869781,Inf,Inf,70.9632569886698,Inf,Inf
0.003,61.5251734101012,Inf,Inf,57.9477921270508,Inf,Inf
0.004,53.2848970964201,Inf,Inf,50.1899201972701,Inf,Inf
0.005,47.6618129199528,Inf,Inf,44.8962916828369,Inf,Inf
0.006,43.5110352467336,Inf,Inf,40.9891407698053,Inf,Inf
0.007,40.2852972992076,Inf,Inf,37.9528488585512,Inf,Inf
0.008,37.6852258271333,Inf,Inf,35.5056414588992,Inf,Inf
0.009,35.5316762342782,Inf,Inf,33.4788130466046,Inf,Inf
0.01,33.7098813171071,Inf,Inf,31.7643703990541,311.096802438687,407.936235330587
0.015,27.530523353245,Inf,Inf,25.9501136049731,118.641723360569,149.536873316094
0.02,23.8477883672179,Inf,Inf,22.4861136073523,86.7297875061029,108.875906564184
0.025,21.3351659062306,184.696609290431,Inf,20.1235112987775,71.4630550401141,89.5281385277405
0.03,19.4808776996749,116.177956144808,Inf,18.3805020117039,62.0777145341896,77.6596464009956
0.035,18.0400569243576,92.1037167386227,Inf,17.0266051730903,55.5660818494243,69.4348819192973
0.04,16.8789196826822,78.8680214134148,Inf,15.9358798462926,50.710722733169,63.3067346391383
0.045,15.9173750644619,70.2208338820732,359.015400072926,15.0329288104921,46.9123250198505,58.5151407963109
0.05,15.1041146300962,64.0138042766766,182.877674090499,14.2694926527213,43.837001024377,54.6372150766704
0.055,14.4046079931122,59.2843593924805,139.571895647973,13.613059130192,41.2820236233187,51.4164332862667
0.06,13.7946259457439,55.5292397305214,117.759041446758,13.0408184968467,39.1162275258581,48.6869385512988
0.065,13.256581948219,52.4545697360663,104.080672643943,12.536233075297,37.2504905574741,46.3360977227912
0.07,12.7773780663121,49.8782816867045,94.4950903406513,12.0869809493156,35.6218537081412,44.2843773613326
0.075,12.3470399341282,47.6795130319931,87.3133233684703,11.6836679965371,34.1844073615197,42.4738020523389
0.08,11.9577934087221,45.7748100207457,81.6741064359416,11.3189902938344,32.903780300292,40.8609802977442
0.085,11.6035079280056,44.1038099798074,77.0972232596787,10.9871719118839,31.7536606099631,39.4127035154267
